id,person,date,salary,raise_type
613,115,01/06/2018,"R$ 1.381,04",raise
602,114,23/05/2018,"R$ 2.027,75",raise
744,131,23/05/2018,"R$ 2.027,75",raise
601,114,22/05/2018,"R$ 1.898,37",initial
743,131,22/05/2018,"R$ 1.898,37",initial
1364,265,02/05/2018,"R$ 6.598,39",raise
1261,243,02/05/2018,"R$ 2.649,16",raise
635,116,01/05/2018,"R$ 14.834,41",raise
1363,265,01/05/2018,"R$ 6.375,26",raise
1540,308,01/05/2018,"R$ 6.299,66",raise
1441,278,01/05/2018,"R$ 5.938,55",raise
1375,267,01/05/2018,"R$ 5.356,23",raise
785,138,01/05/2018,"R$ 5.227,38",raise
574,108,01/05/2018,"R$ 5.039,73",raise
1241,240,01/05/2018,"R$ 4.391,83",raise
1406,273,01/05/2018,"R$ 4.305,63",raise
471,91,01/05/2018,"R$ 4.243,32",raise
662,118,01/05/2018,"R$ 4.243,32",raise
512,97,01/05/2018,"R$ 3.961,18",raise
1464,290,01/05/2018,"R$ 3.612,50",raise
677,119,01/05/2018,"R$ 3.560,21",raise
701,122,01/05/2018,"R$ 3.560,21",raise
641,117,01/05/2018,"R$ 3.323,50",raise
419,81,01/05/2018,"R$ 3.211,11",raise
1343,263,01/05/2018,"R$ 3.211,11",raise
1306,256,01/05/2018,"R$ 3.102,52",raise
1423,276,01/05/2018,"R$ 3.102,52",raise
1611,329,01/05/2018,"R$ 3.102,52",raise
1568,315,01/05/2018,"R$ 2.890,00",raise
688,121,01/05/2018,"R$ 2.597,17",raise
433,84,01/05/2018,"R$ 2.559,58",raise
714,123,01/05/2018,"R$ 2.559,58",raise
1260,243,01/05/2018,"R$ 2.389,39",raise
588,111,01/05/2018,"R$ 2.308,59",raise
1496,296,01/05/2018,"R$ 2.098,72",raise
1348,264,01/05/2018,"R$ 1.892,93",raise
1335,262,01/05/2018,"R$ 1.763,26",raise
451,88,01/05/2018,"R$ 1.701,32",raise
612,115,01/05/2018,"R$ 1.289,22",raise
1463,290,03/04/2018,"R$ 3.532,31",initial
1539,308,01/04/2018,"R$ 6.159,83",raise
1405,273,01/04/2018,"R$ 4.210,06",raise
511,97,01/04/2018,"R$ 3.873,26",raise
687,121,02/03/2018,"R$ 2.287,78",initial
784,138,01/03/2018,"R$ 5.111,35",raise
1240,240,01/03/2018,"R$ 4.294,35",raise
1342,263,01/03/2018,"R$ 3.139,83",raise
1305,256,01/03/2018,"R$ 3.033,66",raise
1495,296,01/03/2018,"R$ 1.964,81",raise
1264,244,26/02/2018,"R$ 2.333,58",initial
470,91,01/02/2018,"R$ 4.149,13",raise
661,118,01/02/2018,"R$ 4.149,13",raise
640,117,01/02/2018,"R$ 3.249,73",raise
1422,276,01/02/2018,"R$ 3.033,66",raise
432,84,01/02/2018,"R$ 2.254,67",raise
713,123,01/02/2018,"R$ 2.254,67",raise
418,81,19/01/2018,"R$ 3.139,83",raise
1347,264,09/01/2018,"R$ 1.772,15",initial
450,88,09/01/2018,"R$ 1.654,32",initial
1362,265,01/01/2018,"R$ 6.233,75",raise
573,108,01/01/2018,"R$ 4.927,87",raise
660,118,01/01/2018,"R$ 4.008,82",raise
1239,240,01/01/2018,"R$ 4.008,82",raise
510,97,01/01/2018,"R$ 3.742,28",raise
676,119,01/01/2018,"R$ 3.481,19",raise
700,122,01/01/2018,"R$ 3.481,19",raise
