id,person,start_date,end_date,name,level
553,108,01/05/2016,01/01/2018,ANALISTA DE RECURSOS HUMANOS SENIOR - NIVEL 3,ANALISTA
1006,257,01/05/2016,18/11/2016,ASSISTENTE FISCAL II - NÍVEL 1,ASSISTENTE
1061,272,01/05/2016,23/10/2017,ADVOGADO JÚNIOR - NÍVEL 4,ADVOGADO
1101,291,28/03/2016,01/03/2017,ANALISTA CONTÁBIL JÚNIOR - NÍVEL 1,ANALISTA
1143,308,01/03/2016,01/03/2017,ANALISTA CONTÁBIL PLENO - NÍVEL 1,ANALISTA
614,119,01/12/2015,01/12/2017,ANALISTA FISCAL JUNIOR - NIVEL 2,ANALISTA
974,243,01/11/2015,01/05/2017,ASSISTENTE JURÍDICO I - NÍVEL 2,ASSISTENTE
1036,265,01/11/2015,01/03/2017,COORDENADOR FISCAL JÚNIOR - NÍVEL 1,COORDENADOR
1177,322,05/10/2015,05/06/2017,COORDENADOR FISCAL JÚNIOR - NÍVEL 1,COORDENADOR
513,97,01/10/2015,01/10/2017,ANALISTA FISCAL JUNIOR - NIVEL 3,ANALISTA
590,116,01/10/2015,01/09/2017,GERENTE FISCAL PLENO - NIVEL 5,GERENTE
1052,269,01/10/2015,05/04/2016,ANALISTA DE CUSTOS SÊNIOR - NÍVEL 5,ANALISTA
1083,278,01/10/2015,11/05/2018,COORDENADOR ADMINISTRATIVO FINANCEIRO PLENO - NÍVEL 3,COORDENADOR
984,246,14/09/2015,31/10/2016,ASSISTENTE FISCAL I - NÍVEL 1,ASSISTENTE
681,138,01/09/2015,01/09/2017,ANALISTA CONTABIL PLENO - NIVEL 3,ANALISTA
957,86,01/09/2015,,ASSISTENTE ADMINISTRATIVO III - NÍVEL 1,ASSISTENTE
963,240,01/09/2015,05/09/2017,ANALISTA FISCAL PLENO - NÍVEL 1,ANALISTA
1111,294,01/09/2015,18/12/2015,ANALISTA CONTÁBIL PLENO - NÍVEL 3,ANALISTA
1114,295,01/09/2015,10/08/2017,ASSISTENTE FISCAL II - NÍVEL 3,ASSISTENTE
602,118,01/08/2015,01/06/2016,ASSISTENTE FISCAL III - NIVEL 2,ASSISTENTE
1015,259,01/08/2015,13/11/2016,COORDENADOR FISCAL JÚNIOR - NÍVEL 3,COORDENADOR
1044,266,01/08/2015,10/03/2017,ANALISTA FISCAL JÚNIOR - NÍVEL 2,ANALISTA
1158,313,01/08/2015,17/12/2015,ANALISTA CONTÁBIL PLENO - NÍVEL 1,ANALISTA
1174,319,01/08/2015,30/12/2016,ANALISTA FISCAL JÚNIOR - NÍVEL 2,ANALISTA
485,91,20/07/2015,01/03/2017,ANALISTA FISCAL JUNIOR - NIVEL 3,ANALISTA
